E_MeV,phi_10m_1_per_MeV_cm2_s,dphi_10m_1_per_MeV_cm2_s
0.0125,35334377313959.055,1801683215042.1091
0.0375,104214314771644.73,3523511496985.126
0.0625,79002644893916.38,3516279914772.3354
0.0875,80598954034972.17,5020195314620.006
0.1125,105465835308827.61,4795751765368.695
0.1375,138330729658902.67,5200830504156.902
0.1625,141076485386330.53,5191747147892.156
0.1875,147844320759530.38,5649348281146.357
0.2125,168697091618915.75,6565214786634.269
0.2375,150127344262323.84,8364531096404.933
0.2625,144533760066578.3,9219419106824.64
0.2875,139720815019537.28,8511216715491.635
0.3125,135700761991494.39,7692832851727.593
0.3375,135599456513384.95,7196106579399.153
0.3625,127344335390657.66,7300742699179.748
0.3875,129033566812682.12,7230528128613.306
0.4125,128627403754527.19,7033798102599.229
0.4375,129257574185281.17,6655652684763.094
0.4625,128755073066237.67,6186218934117.599
0.4875,132558732581891.6,5966831210948.335
0.5125,128013143266809.73,5722253394956.05
0.5375,123949002271964.31,5596029007703.973
0.5625,119658443568977.73,5237723287065.362
0.5875,113119742695174.08,4320682592463.2803
0.6125,111354813773687.8,4078943251113.6553
0.6375,113278887929692.72,3972241883591.248
0.6625,113067322693605.89,3691297319662.0444
0.6875,113473943966140.31,3429676723425.6987
0.7125,114931580600772.48,3309477738547.6646
0.7375,115528604034926.89,3243867096300.4688
0.7625,113977621819810.67,3154888639302.4688
0.7875,114409852799451.33,2939964506818.958
0.8125,114142563785994.83,2791901963667.86
0.8375,114761619190763.1,2729790607628.284
0.8625,114935844708181.86,2668419963243.6577
0.8875,114086320433964.72,2551762774223.2
0.9125,112180135651805.1,2460098126446.173
0.9375,106510712741528.7,2029145519021.555
0.9625,105499764087259.89,1931760174129.272
0.9875,104405169443730.78,1906026734249.8276
1.0125,101089423202080.36,1862595050341.0664
1.0375,98965802646985.4,1711394620280.4202
1.0625,98594036433856.36,1655778146847.416
1.0875,97876065836400.81,1639801890142.9631
1.1125,95890502974999.25,1528592096675.3345
1.1375,94169569893471.16,1473305335473.5015
1.1625,93340519384424.19,1414750210874.2407
1.1875,92154042300630.69,1394839375911.1467
1.2125,89246728928991.77,1263791595713.713
1.2375,86897577710718.11,1159687459138.239
1.2625,84482478709506.45,1206198394844.8462
1.2875,81901007961142.2,1233139057197.9106
1.3125,79393745126603.22,1240652817248.9456
1.3375,78350229546446.84,1246293320194.739
1.3625,76648063722895.89,1172671729989.0015
1.3875,76038922756757.6,1380118703083.584
1.4125,74887362438342.16,1197325658578.9124
1.4375,74097042365766.88,1298921804731.5496
1.4625,73283866712046.5,1347009268177.658
1.4875,72355324742209.19,1370443294076.3225
1.5125,70780269419697.67,1350324007309.7202
1.5375,69846985942180.805,1362584840134.8425
1.5625,68325481551710.875,1426269995685.8208
1.5875,67560156200665.734,1596173367898.6199
1.6125,66869172891834.56,1526524109730.395
1.6375,66078294699971.7,1599184624723.9487
1.6625,65048828031458.38,1155393175934.0532
1.6875,64170495883155.05,1162535201749.2551
1.7125,63471588455791.93,1160629743661.6626
1.7375,62720508714980.516,1183885234918.154
1.7625,61701583224191.9,1196634086903.9739
1.7875,60092967284933.63,1200888958386.7578
1.8125,58841338719087.17,1174749394727.1707
1.8375,58040430973250.38,1179037353900.7737
1.8625,57364450858064.984,1187160715721.4893
1.8875,56748910965278.836,1185485315723.9385
1.9125,56010949706836.695,1199808862900.836
1.9375,54342028537797.2,1167156970842.3994
1.9625,53594834199112.06,1160489154024.1423
1.9875,52645812760191.12,1158842819084.7031
2.0125,51965951736871.84,1131427301727.4624
2.0375,51312823573068.46,1144582036034.3418
2.0625,50683284548247.44,1120566118152.2783
2.0875,49290975698447.26,1121686195560.887
2.1125,48376747993219.945,1136648599494.0103
2.1375,47512425485979.88,1108570697650.0654
2.1625,46650479851323.09,1075868659650.7222
2.1875,45989096119763.27,1063847836221.0492
2.2125,45174937007658.71,1045087791510.2181
2.2375,44299978948853.414,991856019415.4932
2.2625,43244367753568.445,923155335057.2573
2.2875,41958117487514.53,919950316297.747
2.3125,41111779367489.97,847836596442.8201
2.3375,40230026893420.54,831701022766.6948
2.3625,39607873952533.01,830396029086.9901
2.3875,39107584914828.18,828021760942.296
2.4125,38632307468409.57,842153883078.2056
2.4375,38149252753303.15,832722318815.2931
2.4625,37608576707103.016,827013474193.259
2.4875,36936358305545.25,804171791543.1127
2.5125,35865470232476.984,725575789002.1495
2.5375,35348097006089.234,694217128967.3834
2.5625,34777054621090.43,688644160202.6146
2.5875,34276173845577.895,678595317726.5144
2.6125,33702585181766.71,682260105675.2439
2.6375,32918468201477.938,662787233527.9442
2.6625,32344976158503.477,631246978596.3314
2.6875,31849117557780.78,637663068351.8541
2.7125,31308112274783.184,631592046799.6262
2.7375,30810103177702.344,633045831294.8588
2.7625,30358584725894.453,634200380272.376
2.7875,29917442211167.42,634743874364.7384
2.8125,29522950898234.312,644440403333.8763
2.8375,29054222685224.94,634179705384.9296
2.8625,28649536024567.312,635032754384.3856
2.8875,28162681708020.395,675354580739.7968
2.9125,27377943433281.56,659596131630.9076
2.9375,26707746965329.95,654412418981.9637
2.9625,26290880358047.785,604272519717.4723
2.9875,25881524180012.047,602668002584.3464
3.0125,25013664676049.22,608513911373.586
3.0375,24634138012134.727,607929373028.8567
3.0625,24274456144584.098,615122851253.0461
3.0875,23947694344301.137,593488167761.3291
3.1125,23609890320709.44,586912846366.3367
3.1375,23285938389178.035,589046006583.7402
3.1625,22854003494498.555,595024116490.069
3.1875,22476925987306.715,592755549446.8193
3.2125,22116335935744.688,633497007896.0588
3.2375,21651636033820.094,621670682440.6714
3.2625,21270786805225.242,632045161299.6234
3.2875,20933861564563.86,625540281244.4572
3.3125,20580541772923.36,791309358827.6519
3.3375,20223700678964.344,765764559416.2806
3.3625,19880933438306.25,745224821009.8364
3.3875,19489659409105.418,594812632978.585
3.4125,19030669055393.676,576419099547.2992
3.4375,18509183341986.465,550254340194.6564
3.4625,18150912570766.582,636550611402.0262
3.4875,17772233612096.453,607636872137.428
3.5125,17362468152344.676,594811222634.3203
3.5375,17035875291607.002,581524223085.9637
3.5625,16676898859871.926,564159809333.0055
3.5875,16389616177910.84,567576833632.054
3.6125,16096087105774.896,581235633381.2366
3.6375,15681345551940.016,554614375716.7711
3.6625,15145421384171.123,539011577730.4869
3.6875,14863657929844.516,521423064701.06885
3.7125,14506816870454.68,501535032019.77185
3.7375,14241805533341.393,519831944894.84174
3.7625,13975037771150.174,500254842951.34906
3.7875,13693104685894.85,701736454699.6077
3.8125,13422876981666.043,552477143138.3884
3.8375,13184781461413.303,528990167070.3923
3.8625,12879790323370.422,484126230545.581
3.8875,12639445214227.006,463598778434.3224
3.9125,12405752164495.977,445530035011.4726
3.9375,12173209352121.137,518096746769.47797
3.9625,11934438955201.195,492140460916.3205
3.9875,11524467013782.973,276832844966.5158
4.0125,11134960644641.086,255721550925.61786
4.0375,10913821217003.12,250010668950.07318
4.0625,10681701531297.846,246466231549.36026
4.0875,10462127032807.578,240857205844.80597
4.1125,10240536010786.617,233128346633.4067
4.1375,10042382904903.582,230130467576.96985
4.1625,9840961231921.088,227956070833.50992
4.1875,9627013281060.863,225901259877.54218
4.2125,9376873100639.572,223321160312.00986
4.2375,9120223130234.697,222602999156.4328
4.2625,8884052075806.688,218227909669.8042
4.2875,8710077409587.073,216396540217.6271
4.3125,8527250027727.847,213253473478.74188
4.3375,8309771924840.992,216552348842.65472
4.3625,8128607130041.357,213778122404.7152
4.3875,7957811496764.812,212701804155.0406
4.4125,7783813582776.792,208394611647.41183
4.4375,7616851307737.556,205727813270.51666
4.4625,7343597003331.159,215507555054.56006
4.4875,7107123105668.775,206935421195.75394
4.5125,6872605996007.269,196990564384.70422
4.5375,6631292016670.395,194926021891.0494
4.5625,6439275129009.939,185182812429.7402
4.5875,6278996872582.935,182075034740.83728
4.6125,6073689520920.777,180173647246.54443
4.6375,5916634684254.139,176840350170.04047
4.6625,5772379702438.292,176816436625.44568
4.6875,5651179316492.769,172422841925.05054
4.7125,5535507550625.85,172579899613.25702
4.7375,5411929711334.958,168175080670.30658
4.7625,5296225004503.708,163746433875.99957
4.7875,5166115714185.836,164792005363.96603
4.8125,5055008949261.351,162611382394.71674
4.8375,4946083091195.92,156548249783.603
4.8625,4847547360856.607,152567578423.8073
4.8875,4739844045028.253,145453079426.19833
4.9125,4618913737655.547,141905771834.93054
4.9375,4472996618179.353,139957163568.69855
4.9625,4379355744368.1187,135832386882.33922
4.9875,4288788782103.7554,134272650784.06836
5.0125,4200143177895.5264,133783865441.60564
5.0375,4114518380071.603,130793040638.91774
5.0625,4025057176737.825,127938418004.37544
5.0875,3936582691661.1865,124204884107.5957
5.1125,3849396062087.405,130727370420.49005
5.1375,3761155893774.7905,126110502573.19199
5.1625,3669442394784.1367,117202917106.43307
5.1875,3558922655889.162,112349703299.04977
5.2125,3442369201552.9976,105319302100.38832
5.2375,3357369428192.832,105642799006.51242
5.2625,3259115346728.324,101392250642.22456
5.2875,3175272600109.798,99820244191.23335
5.3125,3083130350045.2397,96255967647.73763
5.3375,2992532800977.1816,91585878918.35861
5.3625,2907556195876.3247,86516683498.27864
5.3875,2829317625447.9526,80081387610.60062
5.4125,2755337562223.038,83810537556.17334
5.4375,2693772194501.3447,81069114625.837
5.4625,2629176894133.8457,74251456472.04623
5.4875,2571247511959.931,81579053052.14445
5.5125,2508779612286.5234,78169941970.66644
5.5375,2450802336252.7764,72074685627.5355
5.5625,2385859980407.927,69625645351.0513
5.5875,2324445631572.5625,67446538841.63645
5.6125,2252706416423.1,64998159760.299194
5.6375,2181854890951.2036,64967682101.788704
5.6625,2130015629008.544,63285534706.3626
5.6875,2080820708249.4636,62430836520.30419
5.7125,2021256605225.7913,63666871472.20303
5.7375,1946998640424.3552,60063838067.58279
5.7625,1893546399912.8862,58991392507.881256
5.7875,1843056032260.7012,54615013406.548485
5.8125,1791201848534.7966,52160433085.63109
5.8375,1744364280875.822,50765369211.704094
5.8625,1696359799691.9155,45908055289.17966
5.8875,1652592842223.852,44641135444.22715
5.9125,1604245823753.4219,43563258815.767784
5.9375,1546611900838.6665,43688321393.401505
5.9625,1508121315655.4883,42378599953.28772
5.9875,1472317636677.8044,45838427933.42395
6.0125,1430564041389.6252,46964563463.55809
6.0375,1378804352496.339,45695474295.33591
6.0625,1331581298811.113,42639584498.88968
6.0875,1291608724566.9946,44044370920.123405
6.1125,1250604696099.7986,42373886818.03721
6.1375,1220563155416.8635,41454884803.89889
6.1625,1189517373363.3245,40964350969.832756
6.1875,1159999861578.6677,39576539162.453064
6.2125,1124639888298.8484,39340319709.39591
6.2375,1075881768045.456,34295481995.18869
6.2625,1048132263739.929,33197923815.81387
6.2875,1019467703071.5447,33148235875.286156
6.3125,993067329855.3234,32310695077.674355
6.3375,966771799753.4642,31877327380.134274
6.3625,940768460395.5178,30994922261.044502
6.3875,911768312572.7106,31929914839.49471
6.4125,866419791271.211,31217973841.72187
6.4375,844901088172.2754,30443484633.869385
6.4625,822908899761.9543,30616722322.631084
6.4875,800597290470.66,30673380665.35442
6.5125,779613951501.617,29869087418.974525
6.5375,759067796756.0745,29110144557.085476
6.5625,738434024714.7522,34243042460.698265
6.5875,711690597402.8809,33099251268.4056
6.6125,688873230057.97,32401093444.777954
6.6375,669796441094.3922,28548191731.80458
6.6625,649224008938.1797,27633386762.97834
6.6875,629315013818.6571,26736876114.09174
6.7125,609077582869.3956,25888775337.913544
6.7375,590767777367.2148,25027711822.555088
6.7625,571833204941.6101,24358199141.076267
6.7875,551550095670.7723,23496660366.451756
6.8125,531957644240.0081,22734443476.101746
6.8375,502774145675.3569,23510639567.52523
6.8625,486487217517.7499,22666599997.398647
6.8875,471300862914.8757,21829216079.249466
6.9125,456070908289.0669,21864849892.21391
6.9375,437662180334.67255,20176565555.328728
6.9625,418416895348.3013,18363148697.109467
6.9875,402684237373.7906,22736886774.31739
7.0125,389121806285.3831,21656856393.24565
7.0375,375078921950.3652,20848419957.830635
7.0625,362076887912.31537,17998669533.83024
7.0875,349583144983.98615,17593442037.947933
7.1125,304682275451.375,17220537699.44836
7.1375,290285670529.7324,15660814820.147858
7.1625,281176912956.89105,16491359532.171797
7.1875,272156388356.7891,15987443381.813347
7.2125,262646719128.76447,15504090522.573666
7.2375,250651663994.07678,15426168628.787178
7.2625,242456264746.34732,14912618067.729633
7.2875,234196088919.23898,15554563083.293356
7.3125,226389250625.64136,15204200992.724533
7.3375,210923600444.37006,13154940500.737116
7.3625,202742891193.58487,12781675400.014317
7.3875,193375971560.17084,10632778821.26658
7.4125,183695034725.9597,10000496349.536375
7.4375,177827847111.7362,9770991367.155754
7.4625,171191182734.56006,9518094299.754505
7.4875,163801354786.86322,9306454790.61463
7.5125,157690967686.9354,9754786819.440456
7.5375,152368581759.5016,9521146315.141981
7.5625,147450504081.28024,9584038255.69735
7.5875,142606571055.2988,9881010120.285639
7.6125,137852506642.44644,9636324764.325256
7.6375,132296347032.68709,9379438336.255653
7.6625,127220532295.18282,9156650594.901117
7.6875,122705068112.49951,9032689093.14958
7.7125,118451028283.18355,8721550122.460428
7.7375,114152950266.67326,8475082998.015136
7.7625,109954450306.73004,8726245282.375696
7.7875,105765652530.69861,8477392226.558106
7.8125,101381915734.86797,8214386386.731078
7.8375,97242230727.68597,7904626877.517382
7.8625,92857644740.13655,7964376476.135829
7.8875,87662089821.98375,7780423382.5679035
7.9125,83990671391.08354,7538862868.174184
7.9375,80497604100.9071,7397243621.047612
7.9625,77063077387.97092,7209802886.961496
7.9875,73289278308.56288,6974691599.87457
8.0125,69204353808.76303,6672213590.304336
8.0375,65934666287.86162,6551958039.124414
8.0625,62993054213.07704,6332734784.455629
8.0875,55730029273.63161,7058921902.40932
8.1125,36879870843.304596,6239455647.84709
8.1375,35183417316.21569,5836172300.653296
8.1625,33757352620.267906,5632264501.856638
8.1875,32357215408.543186,5428736988.780896
8.2125,30671029928.14825,7388279927.204018
8.2375,29034549040.833385,7081938984.853106
8.2625,28034660101.874496,6785673681.708931
8.2875,27130700339.633648,5432537879.638699
8.3125,26179919468.116783,5235167645.531355
8.3375,25151783678.169777,5002130322.788842
8.3625,24250515298.84223,4775159621.826438
8.3875,23356604345.6043,4656594933.38947
8.4125,22509678532.36519,4443584167.291135
8.4375,21426434123.470474,4231642705.1226907
8.4625,20413322960.05611,4060643260.436577
8.4875,19635824092.252476,3716199841.8787813
8.5125,18883626228.84599,3526025852.1940937
8.5375,18102155155.7243,3342230962.6665735
8.5625,17210509157.37416,3739389136.098881
8.5875,16536230173.875525,3516582097.465463
8.6125,15879295477.51257,3302369715.6591644
8.6375,14967492817.01021,3164490719.291082
8.6625,14261549024.745682,2968333882.4151816
8.6875,13423991007.814198,2463334145.2368975
8.7125,12156942395.957163,1818134974.7287233
8.7375,11573085339.7603,1838351268.7459126
8.7625,11084690327.055496,1749551156.4903166
8.7875,10610729032.735771,1669951752.9385617
8.8125,10108905849.731205,1595831265.311846
8.8375,9553126286.690207,1540603210.827146
8.8625,8951692787.166914,1469027290.9402575
8.8875,8401032113.089241,1301809977.1254885
8.9125,7956786990.945377,1252221277.6986935
8.9375,7648660705.523724,1208764954.436094
8.9625,7355716405.507248,1174092106.1520715
8.9875,6359810509.301956,1107812029.7255516
9.0125,5919200173.155586,1061972229.3246254
9.0375,5710486064.127505,1015163168.6579975
9.0625,5468229048.139673,974438693.2307465
9.0875,5190633408.792867,931301370.3509758
9.1125,4975450849.325955,904641840.7632524
9.1375,4788834492.589799,881074149.5745622
9.1625,4621789818.471351,861692734.8693268
9.1875,4490417085.400137,844048716.5853913
9.2125,4371974173.440084,825832847.2296894
9.2375,4238605466.482677,807256625.7157308
9.2625,4098330276.18976,789945438.167008
9.2875,3976220904.2280426,772973552.7207942
9.3125,3868144659.6252933,756912602.4849218
9.3375,3766480543.6373215,741299721.1445848
9.3625,3658409671.0839543,725663504.1011883
9.3875,3514534621.7568226,709596489.8456389
9.4125,3415196036.2173495,695042264.2387953
9.4375,3311305751.9529653,680458767.7311181
9.4625,3215028321.935765,666511753.3124367
9.4875,3078758647.8153787,652597488.2662463
9.5125,3002195162.9308596,639641595.5320684
9.5375,2898264100.8707714,624251493.0226228
9.5625,2764232096.1904387,610509375.3769321
9.5875,2700111440.9300575,598767827.2318505
9.6125,2635679030.502671,587374168.4040256
9.6375,2571665605.358002,575656783.3517289
9.6625,2508064256.846956,564637872.6180457
9.6875,2442047888.6709485,554042536.2034158
9.7125,2383283325.663809,543491565.0641676
9.7375,2302849802.9216557,532593347.62734073
9.7625,2235517493.518716,522390203.0595099
9.7875,2180298483.1044874,512382082.776476
9.8125,2129240866.4462929,502594735.925237
9.8375,2079340947.171682,492910414.8603606
9.8625,2030779929.9682775,483132084.498792
9.8875,1981857395.2742705,473572594.16977364
9.9125,1929385337.7179084,464045769.4261223
9.9375,1879024348.6501608,454773259.53281724
9.9625,1833483667.6903193,445742583.9826289
9.9875,1786803196.1781719,436523231.5007246
10.0125,1740942814.3270614,427645942.8356959
10.0375,1690005384.3103764,418856542.6506784
10.0625,1640672753.7963223,410593176.50791216
10.0875,1593117882.379227,402430005.4376557
10.1125,1546575508.4881668,394431525.3217277
10.1375,1509882827.5871336,386588169.1412275
10.1625,1473987988.3191957,378842172.63387716
10.1875,1437186713.5486012,371007687.8062656
10.2125,1400682185.393143,363380582.32131463
10.2375,1358445957.0991905,356008158.0531187
10.2625,1322186030.3822217,348663112.22334856
10.2875,1283998912.4069767,341501670.9353852
10.3125,1253155055.1115856,334642849.5047479
10.3375,1221741400.3707993,327833400.2238786
10.3625,1187837269.4127214,321046361.464424
10.3875,1155707829.1918638,314193798.43379486
10.4125,1122744715.353695,307405593.9296315
10.4375,1080351621.8349864,300500496.9148422
10.4625,1051523836.9425917,294092523.81668323
10.4875,1022819164.2807627,287545888.5976186
10.5125,997143679.9904593,281397847.5492892
10.5375,969702999.3861219,275289954.7629869
10.5625,944622991.5595101,269410063.74640167
10.5875,922674569.1041511,263751369.26819366
10.6125,899455103.1715248,258117466.61579856
10.6375,873324695.8326211,252545284.6662141
10.6625,852057859.5751272,247041317.13866562
10.6875,831239986.9866127,241392554.3173329
10.7125,810456135.9947582,235940138.0329419
10.7375,787302046.2438047,230325264.83317998
10.7625,767456767.9856826,224982612.99394155
10.7875,748540922.3721231,219772579.46642944
10.8125,730028402.5518982,214624174.5176168
10.8375,711429460.1464897,209524977.67725578
10.8625,693579234.8518087,204478304.36867106
10.8875,669689386.2443833,199511991.84548825
10.9125,645953179.9777764,194703146.89382416
10.9375,629989523.015559,189850059.59262067
10.9625,611028353.4144397,185218243.7892953
10.9875,595467470.5215658,180465329.198532
11.0125,578811794.0395758,175763465.9117323
11.0375,562803051.9627794,171115324.29352435
11.0625,547530526.7839884,166347541.3885999
11.0875,529819658.46534306,161661307.6704411
11.1125,513027241.89366394,156971200.16964823
11.1375,498583683.7393686,152422017.6000586
11.1625,483817730.7182027,148217831.8016208
11.1875,470574699.42357326,143926492.1280558
11.2125,457627186.3285412,139657070.55849358
11.2375,444280360.22970134,135269184.90130708
11.2625,431444396.14992964,131161415.54080275
11.2875,419028230.07411695,127105389.29123442
11.3125,406183394.85333663,123019036.11790723
11.3375,393819405.239273,119178072.16944593
11.3625,381935511.77226925,115389084.70982477
11.3875,370166588.1129757,111658283.04689391
11.4125,358467605.4945641,107986726.02440432
11.4375,346948684.8797852,104379300.0962395
11.4625,334837410.4346527,100783156.6734393
11.4875,323384457.30724,97266141.25250247
11.5125,311883869.9344793,93827601.58919932
11.5375,300803400.5033677,90394470.23582458
11.5625,288576741.9389946,87092703.0741843
11.5875,277767002.0182177,83956020.26659733
11.6125,267620628.95871076,80708329.65216452
11.6375,257237115.0066456,77677460.10124275
11.6625,247496079.49345794,74702960.92663616
11.6875,237775614.36627716,71792370.78278762
11.7125,227254130.52621636,68879734.34043434
11.7375,216577112.54738063,66145108.48623503
11.7625,203655901.57997704,62747881.66141715
11.7875,183152459.95068365,58060136.98648221
11.8125,176185912.88562936,55888459.34528553
11.8375,169342271.9843041,53750043.428673424
11.8625,162591303.1522781,51627945.28752403
11.8875,156436146.4160382,49470798.61614409
11.9125,150392364.9849674,47430418.86667471
11.9375,144608393.1120851,45431136.73791052
11.9625,138922054.5724102,43491614.7272869
11.9875,132904136.20590982,41581558.79385084
12.0125,126916410.10514072,39644138.84763195
12.0375,120919348.01170252,37853812.14088172
12.0625,115822585.63481349,36140903.720352896
12.0875,110778430.17500754,34438024.192543246
12.1125,105709980.98734836,32712746.177040763
12.1375,100847624.87406968,31104282.285637416
12.1625,96064121.07749066,29526153.119870294
12.1875,89545233.55938861,27938469.592983585
12.2125,84734996.93786287,26412762.86132167
12.2375,80098513.10032402,24847535.34958963
12.2625,75651810.35465471,23378353.962019954
12.2875,71212247.21472003,21957300.016692422
12.3125,66844396.33635114,20612939.599094592
12.3375,62642153.744963445,19309622.152107928
12.3625,58879784.5475629,18057083.5601235
12.3875,55084019.17896847,16839115.457763672
12.4125,51380204.38647713,15655905.787653482
12.4375,47892712.34327893,14506658.296505038
12.4625,44518392.26884444,13401649.04232026
12.4875,41248677.09260515,12356643.00032261
