#T2K anti-nu_mu, flux is multiplied as flux*5.518e-9 to correct unit
Energy_MeV,Flux_per_cm2_s_MeV
5,7.28376
15,44.02364
25,101.5312
35,172.1056
45,249.4136
55,329.3246
65,386.26
75,402.2622
85,389.5188
95,370.2578
105,340.9524
115,310.5994
125,287.9896
135,271.5256
145,262.6688
155,256.568
165,247.7672
175,248.319
185,243.2438
195,240.4848
205,239.933
215,236.7258
225,234.5204
235,233.4174
245,232.8656
255,231.762
265,232.3138
275,232.3138
285,231.762
295,237.2776
305,236.174
315,237.8294
325,237.8294
335,241.5884
345,238.3812
355,242.1402
365,242.692
375,241.0366
385,244.9052
395,243.2438
405,242.1402
415,240.4848
425,247.2154
435,242.1402
445,242.692
455,246.6636
465,246.1118
475,241.5884
485,244.3534
495,244.9052
505,246.002
515,239.3812
525,242.1402
535,242.1402
545,239.3812
555,243.8016
565,238.2776
575,237.174
585,233.9692
595,233.4174
605,226.268
615,228.4722
625,231.762
635,230.6584
645,228.903
655,219.0146
665,219.0146
675,221.2188
685,212.9848
695,205.8354
705,209.0422
715,203.6298
725,203.6298
735,199.7612
745,194.2464
755,189.3414
765,191.5456
775,184.2342
785,186.4384
795,179.8858
810,175.9868
830,171.0818
850,168.3228
870,163.8566
890,156.1554
925,151.2504
975,139.0536
1025,130.7706
1075,121.3292
1125,110.9118
1175,102.079
1250,93.806
1350,83.3218
1450,67.8714
1550,60.1462
1650,53.5146
1750,46.24836
1850,40.71884
1950,36.80526
2050,32.66872
2150,33.43888
2250,27.59
2350,23.6174
2500,22.3444
2700,17.161
2900,14.52224
3100,12.96766
3300,11.8647
3500,7.8398
3700,6.399948
3900,5.848148
4250,4.08332
4750,3.366418
5500,2.01397
6500,1.252034
7500,0.811154
8500,0.3718592
9500,0.2240338
10500,0.1026348
11500,0.05151996
12500,0.03437354
13500,0.02742462
14500,0.02256902
15500,0.002135006
16500,0.0121396
17500,0
18500,0
19500,0.000047644
20500,0
21500,0
22500,0.00805628
23500,0
24500,0
25500,0
26500,0
27500,0
28500,0
29500,0